Manager,Institution,Country,Vehicle,Amount (US$m),Year,Evidence type,In the 353-name universe,Universe name,Universe tier,Universe priority (1-5),Universe decision-maker,Universe consultant,Source,Read on
Axiom Asia Private Capital,Casey Family Programs,US,AXIOM ASIA FUND II,,2017,annual report,Yes,Casey Family Programs,2,4,,,https://990s.foundationcenter.org/990pf_pdf_archive/910/910793881/910793881_201712_990PF.pdf,2026-09-19
Axiom Asia Private Capital,Casey Family Programs,US,AXIOM ASIA FUND IV,,2017,annual report,Yes,Casey Family Programs,2,4,,,https://990s.foundationcenter.org/990pf_pdf_archive/910/910793881/910793881_201712_990PF.pdf,2026-09-19
Axiom Asia Private Capital,Charles Stewart Mott Foundation,US,not named in source,,,Preqin or Dakota,Yes,Charles Stewart Mott Foundation,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Clark University Endowment,US,not named in source,,,Preqin or Dakota,Yes,Clark University Endowment,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Claude Worthington Benedum Foundation,US,not named in source,,,Preqin or Dakota,Yes,Claude Worthington Benedum Foundation,2,4,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Claude Worthington Benedum Foundation,US,Axiom Asia Private Cap,0.58,2018,public holdings schedule,Yes,Claude Worthington Benedum Foundation,2,4,,,https://990s.foundationcenter.org/990pf_pdf_archive/251/251086799/251086799_201812_990PF.pdf,2026-09-19
Axiom Asia Private Capital,Claude Worthington Benedum Foundation,US,Axiom Asia Private Capital Fd II,1.36,2018,public holdings schedule,Yes,Claude Worthington Benedum Foundation,2,4,,,https://990s.foundationcenter.org/990pf_pdf_archive/251/251086799/251086799_201812_990PF.pdf,2026-09-19
Axiom Asia Private Capital,Claude Worthington Benedum Foundation,US,Axiom Asia III,2.76,2018,public holdings schedule,Yes,Claude Worthington Benedum Foundation,2,4,,,https://990s.foundationcenter.org/990pf_pdf_archive/251/251086799/251086799_201812_990PF.pdf,2026-09-19
Axiom Asia Private Capital,Claude Worthington Benedum Foundation,US,Axiom Asia IV,1.43,2018,public holdings schedule,Yes,Claude Worthington Benedum Foundation,2,4,,,https://990s.foundationcenter.org/990pf_pdf_archive/251/251086799/251086799_201812_990PF.pdf,2026-09-19
Axiom Asia Private Capital,Cleveland Foundation,US,not named in source,,,Preqin or Dakota,Yes,Cleveland Foundation,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,College of Wooster Endowment,US,not named in source,,,Preqin or Dakota,Yes,College of Wooster Endowment,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Colorado State University Foundation,US,not named in source,,,Preqin or Dakota,Yes,Colorado State University Foundation,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Colorado Trust,US,not named in source,,,Preqin or Dakota,No,,,,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Comprehensive Financial Management,US,not named in source,,,Preqin or Dakota,Yes,Comprehensive Financial Management,1,5,,Not applicable — CFM is itself the allocator.,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,ConAgra Foods Master Pension Trust,US,AXIOM ASIA PRIVATE CAPITAL II LIMITED PARTNERSHIP,,2024,public holdings schedule,Yes,ConAgra Foods Pension Plan,2,3,,,https://efast2-filings-public.s3.amazonaws.com/prd/2025/10/15/20251015110700NAL0002296963001.pdf,2026-09-19
Axiom Asia Private Capital,ConAgra Foods Master Pension Trust,US,"AXIOM ASIA PRIVATE CAPITAL FUND III, L.P.",,2024,public holdings schedule,Yes,ConAgra Foods Pension Plan,2,3,,,https://efast2-filings-public.s3.amazonaws.com/prd/2025/10/15/20251015110700NAL0002296963001.pdf,2026-09-19
Axiom Asia Private Capital,ConAgra Foods Pension Plan,US,not named in source,,,Preqin or Dakota,Yes,ConAgra Foods Pension Plan,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Cranbrook Educational Community,US,not named in source,,,Preqin or Dakota,Yes,Cranbrook Educational Community,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Culver Academies Endowment,US,not named in source,,,Preqin or Dakota,Yes,Culver Academies Endowment,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Cummins UK Pension Plan,UK,not named in source,,,Preqin or Dakota,Yes,Cummins UK Pension Plan,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,DSF Charitable Foundation,US,not named in source,,,Preqin or Dakota,Yes,DSF Charitable Foundation,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Daniels Fund,US,not named in source,,,Preqin or Dakota,Yes,Daniels Fund,1,5,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Daniels Fund,US,Axiom Asia,2.12,2018,public holdings schedule,Yes,Daniels Fund,1,5,,,https://990s.foundationcenter.org/990pf_pdf_archive/841/841393308/841393308_201812_990PF.pdf,2026-09-19
Axiom Asia Private Capital,Daniels Fund,US,Axiom Asia IV,10.7,2018,public holdings schedule,Yes,Daniels Fund,1,5,,,https://990s.foundationcenter.org/990pf_pdf_archive/841/841393308/841393308_201812_990PF.pdf,2026-09-19
Axiom Asia Private Capital,Daniels Fund,US,Axiom Asia V,0.46,2018,public holdings schedule,Yes,Daniels Fund,1,5,,,https://990s.foundationcenter.org/990pf_pdf_archive/841/841393308/841393308_201812_990PF.pdf,2026-09-19
Axiom Asia Private Capital,Daniels Fund,US,Axiom Asia Co-Investment,0.36,2018,public holdings schedule,Yes,Daniels Fund,1,5,,,https://990s.foundationcenter.org/990pf_pdf_archive/841/841393308/841393308_201812_990PF.pdf,2026-09-19
Axiom Asia Private Capital,"David and Barbara B. Hirschhorn Foundation, Inc.",US,Axiom Asia Private Capital,0.78,2017,public holdings schedule,Yes,David and Barbara Hirschhorn Foundation,2,3,,,https://990s.foundationcenter.org/990pf_pdf_archive/521/521489400/521489400_201712_990PF.pdf,2026-09-19
Axiom Asia Private Capital,"David and Barbara B. Hirschhorn Foundation, Inc.",US,Axiom Asia IV,0.15,2017,public holdings schedule,Yes,David and Barbara Hirschhorn Foundation,2,3,,,https://990s.foundationcenter.org/990pf_pdf_archive/521/521489400/521489400_201712_990PF.pdf,2026-09-19
Axiom Asia Private Capital,"David and Barbara B. Hirschhorn Foundation, Inc.",US,Axiom Asia II,0.25,2024,public holdings schedule,Yes,David and Barbara Hirschhorn Foundation,2,3,,,"https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11A.zip (IRS e-file return 202503179349103245_public.xml, David & Barbara B Hirschhorn Foundation Form 990-PF, tax year 2024, period ended 2024-12-31)",2026-09-19
Axiom Asia Private Capital,"David and Barbara B. Hirschhorn Foundation, Inc.",US,Axiom Asia IV,0.51,2024,public holdings schedule,Yes,David and Barbara Hirschhorn Foundation,2,3,,,"https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11A.zip (IRS e-file return 202503179349103245_public.xml, David & Barbara B Hirschhorn Foundation Form 990-PF, tax year 2024, period ended 2024-12-31)",2026-09-19
Axiom Asia Private Capital,David and Barbara Hirschhorn Foundation,US,not named in source,,,Preqin or Dakota,Yes,David and Barbara Hirschhorn Foundation,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,David and Lucile Packard Foundation,US,not named in source,,,Preqin or Dakota,Yes,David and Lucile Packard Foundation,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Denver Foundation,US,not named in source,,,Preqin or Dakota,Yes,Denver Foundation,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Dietrich Foundation,US,not named in source,,,Preqin or Dakota,Yes,Dietrich Foundation,1,5,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Dow Chemical Company Pension Fund,US,not named in source,,,Preqin or Dakota,Yes,Dow Chemical Company Pension Fund,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Dow Employees' Pension Plan,US,AXIOM ASIA PRIVATE CAPITAL FUND I,0.003,2024,public holdings schedule,No,,,,,,https://efast2-filings-public.s3.amazonaws.com/prd/2025/10/08/20251008093014NAL0009466912001.pdf,2026-09-19
Axiom Asia Private Capital,Dow Employees' Pension Plan,US,AXIOM ASIA PRIVATE CAPITAL FUND I,,2014,public holdings schedule,No,,,,,,https://www.documentcloud.org/documents/3038558-Dow-Pension-Plan-2014/,2026-09-19
Axiom Asia Private Capital,Employees' Retirement System of Baltimore County,US,not named in source,,,Preqin or Dakota,Yes,Employees' Retirement System of Baltimore County,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Ernst Russ AG,Germany,not named in source,,,Preqin or Dakota,Yes,Ernst Russ AG,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Flora Family Foundation,US,not named in source,,,Preqin or Dakota,Yes,Flora Family Foundation,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Geraldine R. Dodge Foundation,US,not named in source,,,Preqin or Dakota,Yes,Geraldine R. Dodge Foundation,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Geraldine R. Dodge Foundation,US,"Axiom Asia Private Capital Fund II, L.P.",4.07,2017,public holdings schedule,Yes,Geraldine R. Dodge Foundation,2,3,,,https://990s.foundationcenter.org/990pf_pdf_archive/237/237406010/237406010_201712_990PF.pdf,2026-09-19
Axiom Asia Private Capital,Geraldine R. Dodge Foundation,US,"Axiom Asia Private Capital Fund III, L.P.",4.95,2017,public holdings schedule,Yes,Geraldine R. Dodge Foundation,2,3,,,https://990s.foundationcenter.org/990pf_pdf_archive/237/237406010/237406010_201712_990PF.pdf,2026-09-19
Axiom Asia Private Capital,Haworth Master Pension Trust,US,not named in source,,,Preqin or Dakota,Yes,Haworth Master Pension Trust,2,3,,Not public.,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Haworth Master Pension Trust,US,"AXIOM ASIA 6, L.P.",,2024,public holdings schedule,Yes,Haworth Master Pension Trust,2,3,,Not public.,https://efast2-filings-public.s3.amazonaws.com/prd/2025/10/10/20251010142441NAL0007863521005.pdf,2026-09-19
Axiom Asia Private Capital,Highland Street Foundation,US,not named in source,,,Preqin or Dakota,Yes,Highland Street Foundation,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Hillman Family Foundations,US,not named in source,,,Preqin or Dakota,Yes,Hillman Family Foundations,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Hillman Family Foundations,US,"Axiom Asia Private Capital Fund II, L.P.",3.36,2018,public holdings schedule,Yes,Hillman Family Foundations,2,3,,,https://990s.foundationcenter.org/990pf_pdf_archive/256/256065959/256065959_201812_990PF.pdf,2026-09-19
Axiom Asia Private Capital,Hillman Family Foundations,US,"Axiom Asia Private Capital Fund III, L.P.",13.51,2018,public holdings schedule,Yes,Hillman Family Foundations,2,3,,,https://990s.foundationcenter.org/990pf_pdf_archive/256/256065959/256065959_201812_990PF.pdf,2026-09-19
Axiom Asia Private Capital,J. Paul Getty Trust,US,not named in source,,,Preqin or Dakota,Yes,J. Paul Getty Trust,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,James Irvine Foundation,US,not named in source,,,Preqin or Dakota,Yes,James Irvine Foundation,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Joyce Foundation,US,not named in source,,,Preqin or Dakota,Yes,Joyce Foundation,1,5,,Not public.,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Kenyon College Endowment,US,not named in source,,,Preqin or Dakota,Yes,Kenyon College Endowment,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Loyola University of Chicago,US,not named in source,,,Preqin or Dakota,Yes,Loyola University of Chicago,2,4,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Maddie's Fund,US,not named in source,,,Preqin or Dakota,Yes,Maddie's Fund,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Massey Family Foundation,US,"AXIOM ASIA PRIVATE CAPITAL FUND II, LP",1.59,2023,public holdings schedule,No,,,,,,"https://apps.irs.gov/pub/epostcard/990/xml/2026/2026_TEOS_XML_03A.zip (IRS e-file return 202620729349100227_public.xml, Massey Family Foundation Form 990-PF, tax year 2023, period ended 2024-11-30)",2026-09-19
Axiom Asia Private Capital,Massey Family Foundation,US,"AXIOM ASIA PRIVATE CAPITAL FUND II, LP",1.65,2024,public holdings schedule,No,,,,,,"https://apps.irs.gov/pub/epostcard/990/xml/2026/2026_TEOS_XML_03A.zip (IRS e-file return 202640729349101059_public.xml, Massey Family Foundation Form 990-PF, tax year 2024, period ended 2025-11-30)",2026-09-19
Axiom Asia Private Capital,McGregor Fund,US,not named in source,,,Preqin or Dakota,Yes,McGregor Fund,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,McGregor Fund,US,Axiom Asia Capital I,,2018,annual report,Yes,McGregor Fund,2,3,,,https://990s.foundationcenter.org/990pf_pdf_archive/380/380808800/380808800_201806_990PF.pdf,2026-09-19
Axiom Asia Private Capital,McGregor Fund,US,Axiom Asia Capital II,,2018,annual report,Yes,McGregor Fund,2,3,,,https://990s.foundationcenter.org/990pf_pdf_archive/380/380808800/380808800_201806_990PF.pdf,2026-09-19
Axiom Asia Private Capital,Memorial Sloan-Kettering Cancer Center,US,not named in source,,,Preqin or Dakota,Yes,Memorial Sloan-Kettering Cancer Center,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Metropolitan Government of Nashville and Davidson County Employees' Benefit Trust Fund,US,Axiom Asia VII,30,2024,public holdings schedule,Yes,Metropolitan Government of Nashville & Davidson County Employees' Trust Fund,1,5,,Meketa Investment Group (FACT — Meketa authors and brands the quarterly investment summary and the commitment schedule).,https://www.nashville.gov/sites/default/files/2025-11/2025_3Q_Metro_Nashville_Quarterly_Investment_Summary.pdf,2026-09-19
Axiom Asia Private Capital,Metropolitan Government of Nashville and Davidson County Employees' Benefit Trust Fund,US,"Axiom Asia 6, L.P.",,2020,trade press,Yes,Metropolitan Government of Nashville & Davidson County Employees' Trust Fund,1,5,,Meketa Investment Group (FACT — Meketa authors and brands the quarterly investment summary and the commitment schedule).,https://www.avcj.com/avcj/news/3021964/axiom-closes-latest-asia-fund-of-funds-at-usd18b,2026-09-19
Axiom Asia Private Capital,Michigan State University Endowment,US,not named in source,,,Preqin or Dakota,Yes,Michigan State University Endowment,2,4,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Minnesota Life Insurance Company,US,not named in source,,,Preqin or Dakota,Yes,Minnesota Life Insurance Company,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Missouri State Employees' Retirement System (MOSERS),US,"Axiom Asia Private Capital Fund II, L.P.",,,annual report,Yes,Missouri State Employees' Retirement System,2,4,,,https://mosers.org/docs/default-source/funding/annual-reports/2025-acfr/2025-annual-report-investment.pdf?sfvrsn=3a105c_5,2026-09-19
Axiom Asia Private Capital,Missouri State Employees' Retirement System (MOSERS),US,"Axiom Asia Private Capital Fund III, L.P.",,,annual report,Yes,Missouri State Employees' Retirement System,2,4,,,https://mosers.org/docs/default-source/funding/annual-reports/2025-acfr/2025-annual-report-investment.pdf?sfvrsn=3a105c_5,2026-09-19
Axiom Asia Private Capital,Missouri State Employees' Retirement System (MOSERS),US,"Axiom Asia Fund 6, L.P.",,,annual report,Yes,Missouri State Employees' Retirement System,2,4,,,https://mosers.org/docs/default-source/funding/annual-reports/2025-acfr/2025-annual-report-investment.pdf?sfvrsn=3a105c_5,2026-09-19
Axiom Asia Private Capital,Montana Board of Investments,US,"Axiom Asia Fund 7, L.P.",60,2023,board or committee minutes,Yes,Montana Board of Investments,1,5,,Not established from a public source in this pass.,https://investmentmt.com/_shared/Board/Meetings/2023Meetings/BOIWebBook_August2023.pdf,2026-09-19
Axiom Asia Private Capital,Montana Board of Investments,US,Axiom Asia Private Capital Fund II,,,public holdings schedule,Yes,Montana Board of Investments,1,5,,Not established from a public source in this pass.,https://investmentmt.com/_shared/Investments/InvestmentHoldings/12312025Portfolio.pdf,2026-09-19
Axiom Asia Private Capital,Montana Board of Investments,US,Axiom Asia Private Capital Fund III,,,public holdings schedule,Yes,Montana Board of Investments,1,5,,Not established from a public source in this pass.,https://investmentmt.com/_shared/Investments/InvestmentHoldings/12312025Portfolio.pdf,2026-09-19
Axiom Asia Private Capital,Montana Board of Investments,US,"Axiom Asia IV, L.P.",,,public holdings schedule,Yes,Montana Board of Investments,1,5,,Not established from a public source in this pass.,https://investmentmt.com/_shared/Investments/InvestmentHoldings/12312025Portfolio.pdf,2026-09-19
Axiom Asia Private Capital,Montana Board of Investments,US,"Axiom Asia V, L.P.",,,public holdings schedule,Yes,Montana Board of Investments,1,5,,Not established from a public source in this pass.,https://investmentmt.com/_shared/Investments/InvestmentHoldings/12312025Portfolio.pdf,2026-09-19
Axiom Asia Private Capital,Montana Board of Investments,US,"Axiom Asia VI, L.P.",,,public holdings schedule,Yes,Montana Board of Investments,1,5,,Not established from a public source in this pass.,https://investmentmt.com/_shared/Investments/InvestmentHoldings/12312025Portfolio.pdf,2026-09-19
Axiom Asia Private Capital,Montana Board of Investments,US,"Axiom Asia 7, L.P.",,,public holdings schedule,Yes,Montana Board of Investments,1,5,,Not established from a public source in this pass.,https://investmentmt.com/_shared/Investments/InvestmentHoldings/12312025Portfolio.pdf,2026-09-19
Axiom Asia Private Capital,Montana Board of Investments,US,"Axiom Asia V, L.P.",,2018,trade press,Yes,Montana Board of Investments,1,5,,Not established from a public source in this pass.,https://www.avcj.com/avcj/news/3013096/axiom-asia-completes-usd16b-fundraise,2026-09-19
Axiom Asia Private Capital,Montana Board of Investments,US,"Axiom Asia 6, L.P.",,2020,trade press,Yes,Montana Board of Investments,1,5,,Not established from a public source in this pass.,https://www.avcj.com/avcj/news/3021964/axiom-closes-latest-asia-fund-of-funds-at-usd18b,2026-09-19
Axiom Asia Private Capital,Newfields,US,not named in source,,,Preqin or Dakota,Yes,Newfields,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Northrop Grumman Pension Plan,US,not named in source,,,Preqin or Dakota,Yes,Northrop Grumman Pension Plan,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Occidental Petroleum Corporation Retirement Plan,US,not named in source,,,Preqin or Dakota,Yes,Occidental Petroleum Corporation Retirement Plan,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,PKA,Denmark,not named in source,,,Preqin or Dakota,Yes,PKA (Denmark),2,3,,"IIP Denmark (Institutional Investment Partners Denmark, formerly PKA AIP)","https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Peddie School,US,not named in source,,,Preqin or Dakota,Yes,Peddie School,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Pepperdine University Endowment,US,not named in source,,,Preqin or Dakota,Yes,Pepperdine University Endowment,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Pittsburgh Foundation,US,not named in source,,,Preqin or Dakota,Yes,Pittsburgh Foundation,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Polk Brothers Foundation,US,not named in source,,,Preqin or Dakota,Yes,Polk Brothers Foundation,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,"R B Terry Charitable Foundation, Inc.",US,AXIOM ASIA PRIVATE CAP FND,1.76,2024,public holdings schedule,No,,,,,,"https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11A.zip (IRS e-file return 202503089349100340_public.xml, R B Terry Charitable Foundation Inc Form 990-PF, tax year 2024, period ended 2024-12-31)",2026-09-19
Axiom Asia Private Capital,"R B Terry Charitable Foundation, Inc.",US,AXIOM ASIA IV LP,2.04,2024,public holdings schedule,No,,,,,,"https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11A.zip (IRS e-file return 202503089349100340_public.xml, R B Terry Charitable Foundation Inc Form 990-PF, tax year 2024, period ended 2024-12-31)",2026-09-19
Axiom Asia Private Capital,"R B Terry Charitable Foundation, Inc.",US,AXIOM ASIA V LP,1.42,2024,public holdings schedule,No,,,,,,"https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11A.zip (IRS e-file return 202503089349100340_public.xml, R B Terry Charitable Foundation Inc Form 990-PF, tax year 2024, period ended 2024-12-31)",2026-09-19
Axiom Asia Private Capital,"R B Terry Charitable Foundation, Inc.",US,AXIOM ASIA VI LP,1.08,2024,public holdings schedule,No,,,,,,"https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11A.zip (IRS e-file return 202503089349100340_public.xml, R B Terry Charitable Foundation Inc Form 990-PF, tax year 2024, period ended 2024-12-31)",2026-09-19
Axiom Asia Private Capital,"R B Terry Charitable Foundation, Inc.",US,AXIOM ASIA COINVEST FUND I,0.98,2024,public holdings schedule,No,,,,,,"https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11A.zip (IRS e-file return 202503089349100340_public.xml, R B Terry Charitable Foundation Inc Form 990-PF, tax year 2024, period ended 2024-12-31)",2026-09-19
Axiom Asia Private Capital,"R B Terry Charitable Foundation, Inc.",US,AXIOM ASIA COINVESTMENT FD II,1.01,2024,public holdings schedule,No,,,,,,"https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11A.zip (IRS e-file return 202503089349100340_public.xml, R B Terry Charitable Foundation Inc Form 990-PF, tax year 2024, period ended 2024-12-31)",2026-09-19
